Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,2 Digit NAICS Industry,Rp,Link,Pay,Education,Number of Jobs in 2022,Job Outlook,Employment Change 2022-32,,
Poultry Debeaker,0.05,0.9,0.05,0,0,11,0.95,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,33290,See How to Become One,13410,-2% (Decline),-267,,
Poultry Hanger,0,0.95,0,0.05,0,11,0.95,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,36190,See How to Become One,7084,6% (Faster than average),432,,
Carton Wrapper,0.05,0.85,0.05,0.05,0,33,0.9,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Car Washer,0.05,0.85,0.05,0.05,0,81,0.9,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Chain Offbearer,0,0.9,0.05,0.05,0,33,0.9,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Cash Register Operator,0.1,0.8,0.05,0.05,0,44,0.9,https://www.bls.gov/ooh/sales/cashiers.htm,28240,No formal educational credential,371756,-10% (Decline),-38678,,
Policyholder Information Clerk,0.6,0.3,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,37780,High school diploma or equivalent,271173,-5% (Decline),-14791,,
Warranty Clerk,0.6,0.3,0.05,0.05,0,44,0.9,https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,37780,High school diploma or equivalent,271173,-5% (Decline),-14791,,
Circuit Board Assembler,0.3,0.6,0.05,0.05,0,33,0.9,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,23926,-6% (Decline),-1533,,
Computer Assembler,0.3,0.6,0.05,0.05,0,33,0.9,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,23926,-6% (Decline),-1533,,
Digital Watch Assembler,0.3,0.6,0.05,0.05,0,33,0.9,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,23926,-6% (Decline),-1533,,
Fixed Capital Clerk,0.6,0.3,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm,45860,"Some college, no degree",216975,-6% (Decline),-13538,,
Brick Carrier,0,0.9,0.05,0.05,0,23,0.9,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,39520,See How to Become One,18464,4% (As fast as average),658,,
Brick Washer,0,0.9,0.05,0.05,0,23,0.9,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,39520,See How to Become One,18464,4% (As fast as average),658,,
Classified Ad Clerk,0.7,0.2,0.05,0.05,0,51,0.9,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,18684,-4% (Decline),-730,,
Correspondence Representative,0.7,0.2,0.05,0.05,0,56,0.9,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,18684,-4% (Decline),-730,,
Cut File Clerk,0.4,0.5,0.05,0.05,0,51,0.9,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,18684,-4% (Decline),-730,,
Docket Clerk,0.6,0.3,0.05,0.05,0,54,0.9,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,18684,-4% (Decline),-730,,
Mail Order Clerk,0.4,0.5,0.05,0.05,0,44,0.9,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,18684,-4% (Decline),-730,,
Order Desk Clerk,0.6,0.3,0.05,0.05,0,42,0.9,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,18684,-4% (Decline),-730,,
Subscription Clerk,0.6,0.3,0.05,0.05,0,51,0.9,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,18684,-4% (Decline),-730,,
Unemployment Benefits Claims Taker,0.6,0.3,0.05,0.05,0,92,0.9,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,18684,-4% (Decline),-730,,
Want Ad Clerk,0.4,0.5,0.05,0.05,0,51,0.9,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,18684,-4% (Decline),-730,,
Inventory Taker,0.2,0.7,0.05,0.05,0,44,0.9,https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm,40490,High school diploma or equivalent,36533,-4% (Decline),-1592,,
Material recording clerks,0.4,0.5,0.05,0.05,0,44,0.9,https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm,40490,High school diploma or equivalent,36533,-4% (Decline),-1592,,
Charge Authorizer,0.7,0.2,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Credit Charge Authorizer,0.7,0.2,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Credit Checker,0.7,0.2,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Credit Processor,0.7,0.2,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Credit Rating Checker,0.7,0.2,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Credit Reference Clerk,0.6,0.3,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Dividend Clerk,0.7,0.2,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Insurance Examining Clerk,0.6,0.3,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Insurance Policy Issue Clerk,0.7,0.2,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Invoice Control Clerk,0.7,0.2,0.05,0.05,0,56,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
