Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,Education Level,2 Digit NAICS Industy,Rp,Pay,Education,Number of Jobs in 2022,Job Outlook,Employment Change 2022-32,URL
21 Dealer,0.05,0.7,0.1,0.15,0,Highschool,71,0.75,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700",https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm
3D Animator,0.9,0.3,0.6,0.1,0.05,Bachelors,51,0.6153846154,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700",https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm
3rd Grade Reading Teacher,0.1,0.4,0.3,0.2,0,Bachelors,61,0.5,98950,Bachelor's degree,"89,300",8% (Faster than average),"7,400",https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm
4th Grade Math Teacher,0.2,0.4,0.2,0.2,0,Bachelors,61,0.6,98950,Bachelor's degree,"89,300",8% (Faster than average),"7,400",https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm
911 Dispatcher,0.4,0.4,0.1,0.1,0,Highschool,92,0.8,61620,Bachelor's degree,"1,548,400",1% (Little or no change),"10,700",https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm
911 Operator,0.4,0.4,0.1,0.1,0,Highschool,92,0.8,61620,Bachelor's degree,"1,548,400",1% (Little or no change),"10,700",https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm
A&P Mechanic,0.1,0.6,0.2,0.1,0,Professional Certificate,48,0.7,61620,Bachelor's degree,"1,548,400",1% (Little or no change),"10,700",https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm
Able Seaman,0.1,0.6,0.1,0.15,0.05,Highschool,48,0.7,46900,High school diploma or equivalent,"99,500",3% (As fast as average),"3,400",https://www.bls.gov/ooh/office-and-administrative-support/police-fire-and-ambulance-dispatchers.htm
Absorption and Adsorption Engineer,0.3,0.2,0.4,0.05,0.05,Masters,54,0.5,46900,High school diploma or equivalent,"99,500",3% (As fast as average),"3,400",https://www.bls.gov/ooh/office-and-administrative-support/police-fire-and-ambulance-dispatchers.htm
AC/DC Rewinder,0.1,0.6,0.2,0.05,0.05,Professional Certificate,33,0.7,46900,High school diploma or equivalent,"99,500",3% (As fast as average),"3,400",https://www.bls.gov/ooh/office-and-administrative-support/police-fire-and-ambulance-dispatchers.htm
Accompanist,0.05,0.4,0.3,0.25,0,Professional Certificate,71,0.45,70740,See How to Become One,"161,000",4% (As fast as average),"7,000",https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm
Accountant,0.7,0.6,0.4,0.2,0.1,Bachelors,54,0.65,70740,See How to Become One,"161,000",4% (As fast as average),"7,000",https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm
Accountants and auditors,0.7,0.6,0.5,0.3,0.2,Bachelors,54,0.5652173913,66100,See How to Become One,"83,200",2% (As fast as average),"1,500",https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm
Account Auditor,0.7,0.2,0.6,0.3,0.1,Bachelors,54,0.4736842105,66100,See How to Become One,"83,200",2% (As fast as average),"1,500",https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm
Accounting Professor,0.3,0.2,0.3,0.15,0.05,PhD,61,0.5,106260,Bachelor's degree,"20,800",8% (Faster than average),"1,700",https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm
Accounts Collector,0.4,0.4,0.1,0.1,0,Highschool,56,0.8,106260,Bachelor's degree,"20,800",8% (Faster than average),"1,700",https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm
Accounts Receivable Assistant,0.7,0.6,0.2,0.3,0.1,Associates,52,0.6842105263,64190,See How to Become One,"113,300",-2% (Decline),"-2,100",https://www.bls.gov/ooh/installation-maintenance-and-repair/electrical-and-electronics-installers-and-repairers.htm
Accounts Receivable Clerk,0.7,0.6,0.2,0.1,0.05,Associates,52,0.7878787879,64190,See How to Become One,"113,300",-2% (Decline),"-2,100",https://www.bls.gov/ooh/installation-maintenance-and-repair/electrical-and-electronics-installers-and-repairers.htm
Accredited Legal Secretary,0.4,0.3,0.2,0.1,0,Professional Certificate,54,0.7,,No formal educational credential,"173,500",1% (Little or no change),"2,100",https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm
Acoustical Ceiling Installer,0.05,0.7,0.15,0.05,0.05,Highschool,23,0.75,,No formal educational credential,"173,500",1% (Little or no change),"2,100",https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm
Acquisitions Librarian,0.4,0.3,0.2,0.1,0.1,Masters,51,0.6363636364,78000,Bachelor's degree,"1,538,400",4% (As fast as average),"67,400",https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm
Actors,0.1,0.2,0.4,0.3,0,Professional Certificate,71,0.3,78000,Bachelor's degree,"1,538,400",4% (As fast as average),"67,400",https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm
Actor Understudy,0.05,0.3,0.4,0.25,0,Professional Certificate,71,0.35,78000,Bachelor's degree,"1,538,400",4% (As fast as average),"67,400",https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm
Actress,0.1,0.2,0.4,0.3,0,Professional Certificate,71,0.3,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
Actuarial Associate,0.7,0.2,0.7,0.2,0.1,Bachelors,52,0.4736842105,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
Actuarial Mathematician,0.7,0.2,0.9,0.1,0.05,Masters,52,0.4615384615,39470,High school diploma or equivalent,"209,700",-10% (Decline),"-20,100",https://www.bls.gov/ooh/office-and-administrative-support/bill-and-account-collectors.htm
Actuarial Science Professor,0.3,0.2,0.3,0.15,0.05,PhD,61,0.5,39470,High school diploma or equivalent,"209,700",-10% (Decline),"-20,100",https://www.bls.gov/ooh/office-and-administrative-support/bill-and-account-collectors.htm
Actuaries,0.4,0.3,0.2,0.05,0.05,Bachelors,52,0.7,45860,"Some college, no degree","1,735,800",-6% (Decline),"-108,300",https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm
Acute Care Nurse Practitioner,0.2,0.3,0.3,0.7,0.1,Masters,62,0.3125,45860,"Some college, no degree","1,735,800",-6% (Decline),"-108,300",https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm
Addiction Counselor,0.2,0.3,0.3,0.7,0.1,Masters,62,0.3125,45860,"Some college, no degree","1,735,800",-6% (Decline),"-108,300",https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm
Addiction Psychiatrist,0.2,0.2,0.4,0.2,0,Doctorate,62,0.4,44080,High school diploma or equivalent,"3,399,200",-10% (Decline),"-332,600",https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm
Addictions Counselor Assistant,0.2,0.3,0.25,0.6,0.05,Associates,62,0.3571428571,44080,High school diploma or equivalent,"3,399,200",-10% (Decline),"-332,600",https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm
