Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,2 Digit NAICS Industy,Rp,Link,Pay,Education,Number of Jobs in 2022,Job Outlook,Employment Change 2022-32
21 Dealer,0.05,0.7,0.1,0.15,0,71,0.75,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
3D Animator,0.9,0.3,0.6,0.1,0.05,51,0.6153846154,https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm,98950,Bachelor's degree,"89,300",8% (Faster than average),"7,400"
3rd Grade Reading Teacher,0.1,0.4,0.3,0.2,0,61,0.5,https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm,61620,Bachelor's degree,"1,548,400",1% (Little or no change),"10,700"
4th Grade Math Teacher,0.2,0.4,0.2,0.2,0,61,0.6,https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm,61620,Bachelor's degree,"1,548,400",1% (Little or no change),"10,700"
911 Dispatcher,0.4,0.4,0.1,0.1,0,92,0.8,https://www.bls.gov/ooh/office-and-administrative-support/police-fire-and-ambulance-dispatchers.htm,46900,High school diploma or equivalent,"99,500",3% (As fast as average),"3,400"
911 Operator,0.4,0.4,0.1,0.1,0,92,0.8,https://www.bls.gov/ooh/office-and-administrative-support/police-fire-and-ambulance-dispatchers.htm,46900,High school diploma or equivalent,"99,500",3% (As fast as average),"3,400"
A&P Mechanic,0.1,0.6,0.2,0.1,0,48,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm,70740,See How to Become One,"161,000",4% (As fast as average),"7,000"
Able Seaman,0.1,0.6,0.1,0.15,0.05,48,0.7,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,66100,See How to Become One,"83,200",2% (As fast as average),"1,500"
Absorption and Adsorption Engineer,0.3,0.2,0.4,0.05,0.05,54,0.5,https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm,106260,Bachelor's degree,"20,800",8% (Faster than average),"1,700"
AC/DC Rewinder,0.1,0.6,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/electrical-and-electronics-installers-and-repairers.htm,64190,See How to Become One,"113,300",-2% (Decline),"-2,100"
Accompanist,0.05,0.4,0.3,0.25,0,71,0.45,https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm,,No formal educational credential,"173,500",1% (Little or no change),"2,100"
Accountant,0.7,0.6,0.4,0.2,0.1,54,0.65,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,78000,Bachelor's degree,"1,538,400",4% (As fast as average),"67,400"
Accountants and auditors,0.7,0.6,0.5,0.3,0.2,54,0.5652173913,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,78000,Bachelor's degree,"1,538,400",4% (As fast as average),"67,400"
Account Auditor,0.7,0.2,0.6,0.3,0.1,54,0.4736842105,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,78000,Bachelor's degree,"1,538,400",4% (As fast as average),"67,400"
Accounting Professor,0.3,0.2,0.3,0.15,0.05,61,0.5,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Accounts Collector,0.4,0.4,0.1,0.1,0,56,0.8,https://www.bls.gov/ooh/office-and-administrative-support/bill-and-account-collectors.htm,39470,High school diploma or equivalent,"209,700",-10% (Decline),"-20,100"
Accounts Receivable Assistant,0.7,0.6,0.2,0.3,0.1,52,0.6842105263,https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm,45860,"Some college, no degree","1,735,800",-6% (Decline),"-108,300"
Accounts Receivable Clerk,0.7,0.6,0.2,0.1,0.05,52,0.7878787879,https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm,45860,"Some college, no degree","1,735,800",-6% (Decline),"-108,300"
Accredited Legal Secretary,0.4,0.3,0.2,0.1,0,54,0.7,https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm,44080,High school diploma or equivalent,"3,399,200",-10% (Decline),"-332,600"
Acoustical Ceiling Installer,0.05,0.7,0.15,0.05,0.05,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,51160,No formal educational credential,"134,500",1% (Little or no change),"1,400"
Acquisitions Librarian,0.4,0.3,0.2,0.1,0.1,51,0.6363636364,https://www.bls.gov/ooh/education-training-and-library/librarians.htm,61660,Master's degree,"141,200",3% (As fast as average),"4,300"
Actors,0.1,0.2,0.4,0.3,0,71,0.3,https://www.bls.gov/ooh/entertainment-and-sports/actors.htm,,"Some college, no degree","78,100",3% (As fast as average),"2,500"
Actor Understudy,0.05,0.3,0.4,0.25,0,71,0.35,https://www.bls.gov/ooh/entertainment-and-sports/actors.htm,,"Some college, no degree","78,100",3% (As fast as average),"2,500"
Actress,0.1,0.2,0.4,0.3,0,71,0.3,https://www.bls.gov/ooh/entertainment-and-sports/actors.htm,,"Some college, no degree","78,100",3% (As fast as average),"2,500"
Actuarial Associate,0.7,0.2,0.7,0.2,0.1,52,0.4736842105,https://www.bls.gov/ooh/math/actuaries.htm,113990,Bachelor's degree,"30,000",23% (Much faster than average),"7,000"
Actuarial Mathematician,0.7,0.2,0.9,0.1,0.05,52,0.4615384615,https://www.bls.gov/ooh/math/actuaries.htm,113990,Bachelor's degree,"30,000",23% (Much faster than average),"7,000"
Actuarial Science Professor,0.3,0.2,0.3,0.15,0.05,61,0.5,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Actuaries,0.4,0.3,0.2,0.05,0.05,52,0.7,https://www.bls.gov/ooh/math/actuaries.htm,113990,Bachelor's degree,"30,000",23% (Much faster than average),"7,000"
