Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,Education Level,2 Digit NAICS Industy
21 Dealer,5%,70%,10%,15%,0%,Highschool,71.0
3D Animator,90%,30%,60%,10%,5%,Bachelors,51.0
3rd Grade Reading Teacher,10%,40%,30%,20%,0%,Bachelors,61.0
4th Grade Math Teacher,20%,40%,20%,20%,0%,Bachelors,61.0
911 Dispatcher,40%,40%,10%,10%,0%,Highschool,92.0
911 Operator,40%,40%,10%,10%,0%,Highschool,92.0
A&P Mechanic,10%,60%,20%,10%,0%,Professional Certificate,48.0
Able Seaman,10%,60%,10%,15%,5%,Highschool,48.0
Absorption and Adsorption Engineer,30%,20%,40%,5%,5%,Masters,54.0
AC/DC Rewinder,10%,60%,20%,5%,5%,Professional Certificate,33.0
Accompanist,5%,40%,30%,25%,0%,Professional Certificate,71.0
Accountant,70%,60%,40%,20%,10%,Bachelors,54.0
Accountants and auditors,70%,60%,50%,30%,20%,Bachelors,54.0
Account Auditor,70%,20%,60%,30%,10%,Bachelors,54.0
Accounting Professor,30%,20%,30%,15%,5%,PhD,61.0
Accounts Collector,40%,40%,10%,10%,0%,Highschool,56.0
Accounts Receivable Assistant,70%,60%,20%,30%,10%,Associates,52.0
Accounts Receivable Clerk,70%,60%,20%,10%,5%,Associates,52.0
Accredited Legal Secretary,40%,30%,20%,10%,0%,Professional Certificate,54.0
Acoustical Ceiling Installer,5%,70%,15%,5%,5%,Highschool,23.0
Acquisitions Librarian,40%,30%,20%,10%,10%,Masters,51.0
Actors,10%,20%,40%,30%,0%,Professional Certificate,71.0
Actor Understudy,5%,30%,40%,25%,0%,Professional Certificate,71.0
Actress,10%,20%,40%,30%,0%,Professional Certificate,71.0
Actuarial Associate,70%,20%,70%,20%,10%,Bachelors,52.0
Actuarial Mathematician,70%,20%,90%,10%,5%,Masters,52.0
Actuarial Science Professor,30%,20%,30%,15%,5%,PhD,61.0
Actuaries,40%,30%,20%,5%,5%,Bachelors,52.0
Acute Care Nurse Practitioner,20%,30%,30%,70%,10%,Masters,62.0
Addiction Counselor,20%,30%,30%,70%,10%,Masters,62.0
Addiction Psychiatrist,20%,20%,40%,20%,0%,Doctorate,62.0
Addictions Counselor Assistant,20%,30%,25%,60%,5%,Associates,62.0
Addiction Therapist,10%,20%,40%,30%,5%,Masters,62.0
Administrative Clerk,70%,80%,20%,30%,10%,Highschool,56.0
Administrative Court Justice,30%,20%,30%,15%,5%,Doctorate,92.0
Administrative services and facilities managers,30%,30%,20%,10%,10%,Bachelors,56.0
Admiral,10%,10%,30%,20%,30%,Professional Certificate,92.0
Admissions Counselor,30%,40%,20%,70%,10%,Bachelors,61.0
Admitting Interviewer,30%,40%,10%,20%,0%,Associates,62.0
Adobe Layer,90%,40%,40%,10%,5%,Associates,51.0
Adobe Layer Helper,80%,50%,30%,10%,5%,Associates,51.0
Adult basic and secondary education and ESL teachers,20%,30%,30%,70%,10%,Bachelors,61.0
Adult Basic Studies Teacher,20%,30%,30%,70%,10%,Bachelors,61.0
Adult Education Teacher,30%,20%,30%,20%,10%,Bachelors,61.0
Adult English as a Second Language (ESL) Teacher,30%,20%,30%,70%,10%,Bachelors,61.0
Adult ESL Teacher Aide,20%,30%,25%,25%,0%,Associates,61.0
Adult Literacy Instructor,20%,30%,30%,70%,10%,Bachelors,61.0
Adult Literacy Teacher,20%,30%,30%,70%,10%,Bachelors,61.0
Adult Literacy Teaching Aide,20%,30%,30%,70%,10%,Associates,61.0
Adult Nurse Practitioner,20%,30%,30%,70%,10%,Masters,62.0
Adult Protective Service Social Worker,30%,20%,30%,70%,10%,Masters,62.0
Adult Remedial Education Instructor,20%,30%,30%,70%,10%,Bachelors,61.0
Advanced Nursing Professor,20%,10%,40%,30%,10%,Doctorate,61.0
"Advertising, promotions, and marketing managers",70%,20%,60%,50%,70%,Bachelors,54.0
Advertising Account Executive,60%,20%,50%,70%,40%,Bachelors,54.0
Advertising Agent,70%,20%,60%,50%,20%,Bachelors,54.0
Advertising Analyst,70%,20%,60%,40%,10%,Bachelors,54.0
Advertising Copywriter,70%,20%,70%,40%,10%,Bachelors,54.0
Advertising Copy Writer,70%,10%,60%,30%,10%,Bachelors,54.0
Advertising Director,60%,10%,40%,30%,50%,Bachelors,54.0
Advertising Editor,70%,10%,50%,30%,20%,Bachelors,54.0
Advertising Executive,60%,10%,20%,50%,30%,Bachelors,54.0
Advertising Manager,70%,10%,40%,30%,40%,Bachelors,54.0
Advertising Photographer,70%,10%,50%,30%,10%,Bachelors,54.0
Advertising sales agents,40%,30%,20%,60%,10%,Bachelors,51.0
Advertising Solicitor,40%,20%,20%,20%,0%,Bachelors,54.0
Aerial Crop Duster,10%,60%,20%,5%,5%,Professional Certificate,11.0
Aerial Hurricane Hunter,10%,30%,40%,10%,10%,Bachelors,92.0
Aerial Photographer,40%,30%,20%,5%,5%,Professional Certificate,54.0
Aerial Sprayer,5%,70%,15%,5%,5%,Highschool,11.0
Aerobics Instructor,5%,60%,10%,25%,0%,Professional Certificate,71.0
Aerodynamics Engineer,40%,20%,30%,5%,5%,Masters,54.0
Aerodynamics Professor,30%,10%,40%,15%,5%,PhD,61.0
Aeronautical Drafter,70%,20%,10%,5%,5%,Associates,54.0
Aeronautical Engineer,30%,20%,40%,5%,5%,Masters,54.0
Aeronautical Engineering Professor,30%,10%,40%,20%,10%,PhD,61.0
Aerospace Engineering and Operations Technologist,40%,20%,30%,5%,5%,Bachelors,54.0
Aerospace engineering and operations technologists and technicians,40%,30%,20%,5%,5%,Associates,54.0
Aerospace engineers,40%,20%,30%,5%,5%,Masters,54.0
Aerospace Products Sales Engineer,30%,20%,30%,15%,5%,Bachelors,33.0
African History Professor,20%,10%,50%,20%,0%,PhD,61.0
African Studies Professor,20%,10%,50%,20%,10%,PhD,61.0
Agency Legal Counsel,30%,20%,30%,15%,5%,Professional Certificate,54.0
Agricultural and food science technicians,20%,40%,25%,10%,5%,Associates,11.0
Agricultural and food scientists,30%,20%,40%,10%,10%,PhD,11.0
Agricultural Chemist,30%,20%,40%,5%,5%,PhD,11.0
Agricultural Crop Farm Manager,20%,40%,20%,10%,10%,Associates,11.0
Agricultural Economics Professor,30%,10%,40%,15%,5%,PhD,61.0
Agricultural Economist,40%,20%,30%,10%,20%,Masters,11.0
Agricultural Engineer,30%,20%,30%,10%,10%,Bachelors,11.0
Agricultural engineers,30%,20%,30%,10%,10%,Bachelors,11.0
Agricultural Equipment Mechanic,10%,60%,20%,10%,5%,Professional Certificate,11.0
Agricultural Pilot,10%,60%,20%,10%,5%,Professional Certificate,11.0
Agricultural Production Engineer,30%,20%,30%,10%,10%,Bachelors,11.0
Agricultural Real Estate Agent,20%,30%,25%,15%,10%,Bachelors,53.0
Agricultural Research Director,30%,10%,40%,10%,10%,PhD,11.0
Agricultural Research Engineer,30%,20%,40%,5%,5%,PhD,11.0
Agricultural Soil Conservation Professor,30%,20%,30%,15%,5%,PhD,61.0
Agricultural workers,5%,70%,10%,10%,5%,Highschool,11.0
Agriculturist,20%,40%,20%,10%,10%,Bachelors,11.0
Agronomist,20%,30%,30%,10%,10%,Bachelors,11.0
Agronomy Professor,20%,10%,40%,20%,10%,PhD,61.0
Agronomy Technician,20%,40%,25%,10%,5%,Associates,11.0
AIDS Social Worker,20%,20%,30%,30%,10%,Masters,62.0
Air Ambulance Captain,5%,40%,40%,10%,5%,Professional Certificate,62.0
Air Analysis Engineering Technician,30%,40%,20%,5%,5%,Associates,54.0
Air Bag Builder,10%,60%,20%,5%,5%,Highschool,33.0
Air Conditioning Service Technician,10%,60%,20%,10%,0%,Professional Certificate,81.0
Air Conditioning Sheet Metal Installer,5%,70%,10%,10%,5%,Professional Certificate,23.0
Aircraft and avionics equipment mechanics and technicians,20%,50%,20%,10%,0%,Associates,48.0
Aircraft Armament Mechanic,10%,60%,20%,5%,5%,Professional Certificate,33.0
Aircraft Cleaner,5%,80%,5%,10%,0%,Highschool,48.0
Aircraft De-Icer Installer,5%,70%,10%,10%,5%,Highschool,48.0
Aircraft Design Engineer,40%,20%,30%,5%,5%,Masters,33.0
Aircraft Designer,40%,10%,40%,5%,5%,Masters,33.0
Aircraft Electrician,20%,50%,20%,5%,5%,Professional Certificate,33.0
Aircraft Engine Assembler,10%,60%,20%,5%,5%,Professional Certificate,33.0
Aircraft Engineer,30%,40%,20%,5%,5%,Bachelors,33.0
Aircraft Engine Mechanic,10%,60%,20%,5%,5%,Professional Certificate,81.0
Aircraft Engine Specialist,10%,40%,30%,10%,10%,Professional Certificate,81.0
Aircraft Fuselage Framer,5%,60%,20%,10%,5%,Professional Certificate,33.0
Aircraft Instrument Mechanic,30%,50%,15%,5%,0%,Professional Certificate,33.0
Aircraft Layout Worker,10%,40%,30%,10%,10%,Associates,33.0
Aircraft Line Assembler,10%,60%,20%,5%,5%,Highschool,33.0
Aircraft Painter,5%,70%,15%,10%,0%,Professional Certificate,33.0
Aircraft Part Assembler,10%,60%,20%,5%,5%,Highschool,33.0
Aircraft Riveter,5%,70%,10%,5%,10%,Highschool,33.0
Aircraft Sheet Metal Mechanic,10%,60%,20%,5%,5%,Professional Certificate,33.0
Airframe and Power Plant Mechanic,10%,60%,20%,5%,5%,Professional Certificate,48.0
Airframe Mechanic,10%,60%,20%,10%,0%,Professional Certificate,48.0
Air Hammer Operator,5%,80%,5%,10%,0%,Highschool,23.0
Airline and commercial pilots,10%,60%,20%,5%,5%,Professional Certificate,48.0
Airline Captain,20%,40%,30%,10%,20%,Professional Certificate,48.0
Airline Flight Attendant,10%,40%,20%,30%,0%,Highschool,48.0
Airline Pilot,10%,40%,30%,10%,10%,Professional Certificate,48.0
Airline Pilot Flight Instructor,10%,40%,30%,20%,10%,Professional Certificate,48.0
Airline Pilot In Command,10%,40%,30%,10%,10%,Professional Certificate,48.0
Airline Pilot Second In Command,5%,60%,25%,10%,0%,Professional Certificate,48.0
Airline Reservation Agent,70%,60%,20%,40%,10%,Highschool,48.0
Airline Reservationist,70%,60%,20%,40%,10%,Highschool,48.0
Airline Ticket Agent,40%,40%,10%,70%,5%,Highschool,48.0
Airline Transport Pilot,10%,40%,30%,15%,5%,Professional Certificate,48.0
Airplane Electrician,30%,40%,20%,5%,5%,Professional Certificate,48.0
Airplane Flight Attendant,10%,60%,10%,20%,0%,Highschool,48.0
Airplane Rigger,10%,40%,30%,10%,10%,Professional Certificate,48.0
Air Pollution Control Engineer,40%,20%,30%,10%,10%,Bachelors,54.0
Airport Apron Bus Driver,5%,70%,10%,15%,0%,Highschool,48.0
Airport Shuttle Driver,10%,70%,5%,15%,0%,Highschool,48.0
Airport Tower Controller,30%,40%,20%,10%,0%,Professional Certificate,48.0
Air Quality Technician,30%,40%,20%,10%,0%,Associates,54.0
Airset Caster,5%,60%,20%,10%,5%,Highschool,33.0
Airset Molder,5%,70%,10%,10%,5%,Highschool,33.0
Airside Transfer Bus Driver,5%,70%,10%,10%,5%,Highschool,48.0
Air Tour Pilot,5%,40%,30%,20%,5%,Professional Certificate,48.0
Air traffic controllers,40%,40%,15%,5%,0%,Associates,48.0
Air Traffic Control Operator,30%,40%,20%,10%,0%,Associates,48.0
Air Traffic Control Specialist,40%,30%,20%,10%,0%,Professional Certificate,48.0
Air Traffic Coordinator,30%,40%,20%,10%,0%,Associates,48.0
Alcohol and Drug Counselor,20%,30%,30%,70%,10%,Professional Certificate,62.0
Algebraist,30%,20%,40%,10%,0%,PhD,61.0
Algebra Tutor,30%,40%,60%,70%,10%,Bachelors,61.0
Alligator Hunter,5%,60%,20%,10%,5%,Highschool,11.0
All Terrain Vehicle Technician,10%,60%,20%,5%,5%,Professional Certificate,81.0
Almond Paste Mixer,5%,80%,5%,5%,5%,,31.0
Alternative Dispute Resolution Coordinator,30%,20%,30%,20%,10%,Bachelors,54.0
Altitude Chamber Technician,20%,40%,20%,10%,10%,Associates,81.0
Aluminum Molding Machine Operator,5%,70%,10%,5%,10%,Highschool,33.0
Aluminum Polisher,5%,80%,5%,5%,5%,Highschool,33.0
Aluminum Pourer,5%,80%,5%,5%,5%,Highschool,33.0
Aluminum Welder,5%,70%,15%,10%,0%,Professional Certificate,33.0
Alumni Secretary,40%,30%,10%,20%,10%,Bachelors,61.0
Ambulance Dispatcher,40%,40%,10%,10%,0%,Highschool,62.0
Ambulance Driver-Paramedic,10%,40%,30%,20%,0%,Professional Certificate,62.0
Ambulatory Anesthesiologist,20%,30%,40%,10%,0%,Doctorate,62.0
American Board Certified Orthotist,10%,30%,40%,20%,0%,Professional Certificate,62.0
American History Professor,30%,20%,40%,10%,0%,PhD,61.0
American Sign Language Interpreter,10%,40%,20%,30%,0%,Unknown,62.0
Ampoule Examiner,10%,70%,10%,5%,5%,Highschool,32.0
Amusement Park Manager,30%,20%,20%,20%,10%,Bachelors,71.0
Anaesthesiologist,10%,40%,30%,15%,5%,Doctorate,62.0
Analytical Chemist,40%,30%,20%,5%,5%,Masters,54.0
Analytical Statistician,70%,10%,15%,5%,0%,Masters,54.0
Anatomy Professor,20%,20%,40%,20%,10%,PhD,61.0
Anesthesiologist Assistant,10%,40%,30%,20%,0%,Masters,62.0
Anesthetist,5%,40%,40%,10%,5%,Doctorate,62.0
Angle Dozer Operator,5%,70%,10%,10%,5%,Highschool,23.0
Animal care and service workers,10%,60%,10%,20%,5%,Highschool,81.0
Animal Caregiver,10%,60%,10%,20%,0%,Highschool,11.0
Animal Care Giver,10%,60%,10%,20%,5%,Highschool,11.0
Animal Care Technician,10%,60%,10%,20%,0%,Associates,54.0
Animal Daycare Provider,10%,60%,10%,20%,5%,Highschool,81.0
Animal Geneticist,30%,20%,40%,10%,0%,PhD,11.0
Animal Groomer,5%,70%,10%,15%,0%,Highschool,81.0
Animal Husbandry Manager,10%,40%,20%,20%,10%,Associates,11.0
Animal Husbandry Professor,10%,20%,40%,20%,10%,PhD,61.0
